character_id,eidolon,eidolon_name,description
black_swan,2,"Weep Not For Me, My Lamb","When an enemy target afflicted with ""Arcana"" is defeated, there is a 100% base chance of inflicting 6 stack(s) of ""Arcana"" on adjacent targets."
black_swan,3,"As Above, So Below","Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
black_swan,4,In Tears We Gift,"While in the Epiphany state, enemy targets have their Effect RES reduced by 10% and Black Swan regenerates 8 Energy at the start of these targets' turns or when they are defeated. This Energy Regeneration effect can only trigger up to 1 time while Epiphany lasts. The trigger count is reset when Epiphany is applied again."
black_swan,5,Linnutee Flyway,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
black_swan,6,"Pantheon Merciful, Masses Pitiful","When an enemy target is attacked by Black Swan's teammates, Black Swan has a 65% base chance of inflicting 1 stack of ""Arcana"" on the target. Every time Black Swan inflicts ""Arcana"" on an enemy target, there is a 50% fixed chance to additionally increase the number of ""Arcana"" stacked this time by 1."
blade,1,Blade Cuts the Deepest in Hell,"Blade's Ultimate deals additionally increased DMG to one designated enemy target, with the increased amount equal to 150% of the tally of Blade's HP loss in the current battle. The tally of Blade's HP loss in the current battle is capped at 90% of his Max HP. The tally value will be reset and re-accumulated after his Ultimate has been used."
blade,2,Ten Thousand Sorrows From One Broken Dream,"When Blade is in the Hellscape state, his CRIT Rate increases by 15%."
blade,3,Hardened Blade Bleeds Coldest Shade,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
blade,4,"Rejected by Death, Infected With Life","When Blade's current HP percentage drops to 50% or lower of his Max HP, increases his Max HP by 20%. Stacks up to 2 time(s)."
blade,5,Death By Ten Lords' Gaze,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
blade,6,Reborn Into an Empty Husk,"The maximum number of Charge stacks is reduced to 4. The Follow-Up ATK triggered by Talent deals additionally increased DMG, with the increased amount equal to 50% of Blade's Max HP."
boothill,1,Dusty Trail's Lone Star,"When the battle starts, obtains 1 stack of Pocket Trickshot. When Boothill deals DMG, ignores 16% of the enemy target's DEF."
boothill,2,Milestonemonger,"When in Standoff and gaining Pocket Trickshot, recovers 1 Skill Point(s) and increases Break Effect by 30%, lasting for 2 turn(s). Can also trigger this effect when gaining Pocket Trickshot stacks that exceed the max limit. But cannot trigger repeatedly within one turn."
boothill,3,Marble Orchard's Guard,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
boothill,4,Cold Cuts Chef,"When the enemy target in the Standoff is attacked by Boothill, the DMG they receive additionally increases by 12%. When Boothill is attacked by the enemy target in the Standoff, the effect of him receiving increased DMG is offset by 12%."
boothill,5,Stump Speech,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
boothill,6,Crowbar Hotel's Raccoon,"When triggering the Talent's Break DMG, additionally deals Break DMG to the target equal to 40% of the original DMG multiplier and additionally deals Break DMG to adjacent targets equal to 70% of the original DMG multiplier."
bronya,1,Hone Your Strength,"When using Skill, there is a 50% fixed chance of recovering 1 Skill Point. This effect has a 1-turn cooldown."
bronya,2,Quick March,"When using Skill, the target ally's SPD increases by 30% after taking action, lasting for 1 turn."
bronya,3,Bombardment,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
bronya,4,Take by Surprise,"After any other ally character uses Basic ATK on an enemy target that has Wind Weakness, Bronya immediately launches 1 instance of Follow-Up ATK, dealing Wind DMG to this target equal to 80% of her Basic ATK DMG. This effect can only trigger once per turn."
bronya,5,Unstoppable,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
bronya,6,Piercing Rainbow,The duration of the DMG Boost effect placed by the Skill on the target ally increases by 1 turn(s).
castorice,1,"Snowbound Maiden, Memory to Tomb","When the enemy target's current HP is 80%/50% of Max HP or lower, the DMG dealt to it by ""Boneclaw, Doomdrake's Embrace,"" ""Claw Splits the Veil,"" ""Breath Scorches the Shadow,"" and ""Wings Sweep the Ruins"" is 120%/140% of the original DMG respectively."
castorice,2,Crown on Wings of Bloom,"After summoning the memosprite Netherwing, Castorice gains 2 stack(s) of ""Ardent Will."" ""Ardent Will"" can stack up to 2 time(s) and can be used to offset the HP cost of Netherwing's Memosprite Skill, ""Breath Scorches the Shadow"" and advance Castorice's action by 100%. When using the next Enhanced Skill, Castorice gains ""Newbud"" by an amount equal to 30% of max ""Newbud."""
castorice,3,"Pious Pilgrim, Dance in Doom","Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10. Memosprite Talent Lv. +1, up to a maximum of Lv. 10."
castorice,4,Rest in Songs of Gloom,"While Castorice is on the field, all allies' HP restored when receiving healing increases by 20%."
castorice,5,"Pristine Pages, Prophecy as Plume","Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15. Memosprite Skill Lv. +1, up to a maximum of Lv. 10."
castorice,6,Await for Years to Loom,"When Castorice or Netherwing deals DMG, increases Quantum RES PEN by 20%. During Netherwing's attacks, can reduce enemy Toughness regardless of Weakness Types. When breaking Weaknesses, triggers the Quantum Weakness Break effect. And the number of Bounces for Netherwing's Talent ""Wings Sweep the Ruins"" additionally increases by 3."
cerydra,1,Seize the Crowns of All,"The character with ""Military Merit"" ignores 16% of the targets' DEF when dealing DMG. If ""Military Merit"" has been upgraded to ""Peerage,"" then the character additionally ignores 20% of the targets' DEF when dealing Skill DMG. When Cerydra uses her Skill, regenerates 2 Energy for the designated ally target."
cerydra,2,Forge the Dreams of Many,"The character with ""Military Merit"" deals 40% increased DMG. While a teammate on the field has ""Military Merit,"" Cerydra's DMG dealt increases by 160%."
cerydra,3,Torch the Laws of Old,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
cerydra,4,Remake the Realms of Men,Increases Ultimate's DMG multiplier by 240%.
cerydra,5,Help and Hurt Repaid in Full,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
cerydra,6,A Journey Set Starward,"The character with ""Military Merit"" increases their All-Type RES PEN by 20%, and the multiplier for the Additional DMG triggered via ""Military Merit"" increases by 300%. While a teammate on the field has ""Military Merit,"" Cerydra's All-Type RES PEN increases by 20%."
cipher,1,"Read the Room, Seek the Glee","Cipher's tally of DMG is 150% of its original value. When using the Talent's Follow-Up ATK, increases Cipher's ATK by 80%, lasting for 2 turn(s)."
cipher,2,"In the Fray, Nab On a Spree","When Cipher hits an enemy target, there is a 120% base chance to increase the DMG it receives by 30%, lasting for 2 turn(s)."
cipher,3,"From Thin Air, Hard to Foresee","Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
cipher,4,"The Jig Is Up, Quick to Flee","After the ""Patron"" gets attacked by an ally target, Cipher deals Quantum Additional DMG to it equal to 50% of Cipher's ATK."
cipher,5,"Safe in Numbers, Light as a Bee","Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
cipher,6,"The Thief's Game, Unsung and Free","The DMG dealt by Follow-Up ATK from Cipher's Talent increases by 350%. During the tally, an additional 16% of non-Overflow DMG dealt by this attack is tallied. After the tally is cleared by using Ultimate, 20% of the cleared tally is returned."
clara,1,A Tall Figure,Using Skill will not remove Marks of Counter on the enemy.
clara,2,A Tight Embrace,"After using the Ultimate, ATK increases by 30% for 2 turn(s)."
clara,3,Cold Steel Armor,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
clara,4,Family's Warmth,"After Clara is hit, the DMG taken by Clara is reduced by 30%. This effect lasts until the start of her next turn."
clara,5,A Small Promise,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
clara,6,Long Company,"After other allies are attacked, Svarog also has a 50% fixed chance to trigger a Counter on the attacker and mark them with a ""Mark of Counter."" When using Ultimate, the number of Enhanced Counters increases by 1."
cyrene,1,"Epics, Born on a Blank Slate","When Demiurge triggers the Memosprite Skill ""Ode to Ego"" during the use of ""Minuet of Blooms and Plumes,"" gains 6 ""Recollection"" point(s) and increases the number of bounces for this attack by 12."
cyrene,2,A Tomorrow in Thirteen Shades,"When entering combat, additionally gains 12 ""Recollection"" point(s). For every 1 different ally character that gains the Memosprite Skill buff from Demiurge, the DMG multiplier for the True DMG dealt by ally targets via the Skill's Zone increases by 6%, up to a max increase of 24%."
cyrene,3,"By Thy Being, As I've Written","Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15. Memosprite Skill Lv. +1, up to a maximum of Lv. 10."
cyrene,4,"Please Write On, With a Smile","After every 1 use of ""Minuet of Blooms and Plumes"" by Demiurge, the Bounce DMG multiplier for the triggered Memosprite Skill ""Ode to Ego"" increases by 6% in the current battle, stacking up to 24 times."
cyrene,5,"Gaze, Steeped in Yesterbloom","Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10. Memosprite Talent Lv. +1, up to a maximum of Lv. 10."
cyrene,6,"Remembrance, Sung in Ripples ♪","When Cyrene uses Ultimate for the first time, all allies advance action by 100%. Each time Demiurge triggers the Memosprite Skill ""Ode to Ego"" during the use of ""Minuet of Blooms and Plumes,"" gains the following effects based on the number of times it has been triggered in the current battle: 1 time: When Demiurge is on the field, reduces all enemy targets' DEF by 20%. 2 times and more: All allies advance action by 24%."
dan_heng,1,"The Higher You Fly, the Harder You Fall","When the target enemy's current HP percentage is greater than or equal to 50%, CRIT Rate increases by 12%."
dan_heng,2,"Quell the Venom Octet, Quench the Vice O'Flame",Reduces Talent cooldown by 1 turn.
dan_heng,3,Seen and Unseen,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
dan_heng,4,Roaring Dragon and Soaring Sun,"When Dan Heng uses his Ultimate to defeat an enemy, he will immediately take action again."
dan_heng,5,A Drop of Rain Feeds a Torrent,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
dan_heng,6,The Troubled Soul Lies in Wait,The Slow state triggered by Skill reduces the enemy's SPD by an extra 8%.
dan_heng_imbibitor_lunae,1,Tethered to Sky,"Increases the stackable Righteous Heart count by 4, and gains 1 extra stack of Righteous Heart for each hit during an attack."
dan_heng_imbibitor_lunae,2,Imperium On Cloud Nine,"After using his Ultimate, Dan Heng • Imbibitor Lunae's action advances by 100% and gains 1 extra ""Squama Sacrosancta."""
dan_heng_imbibitor_lunae,3,Clothed in Clouds,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
dan_heng_imbibitor_lunae,4,Zephyr's Bliss,"The buff effect granted by ""Outroar"" lasts until the end of this unit's next turn."
dan_heng_imbibitor_lunae,5,Fall is the Pride,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
dan_heng_imbibitor_lunae,6,"Reign, Returned","After another ally character uses their Ultimate, the Imaginary RES PEN of Dan Heng • Imbibitor Lunae's next ""Fulgurant Leap"" attack increases by 20%. This effect can stack up to 3 time(s)."
dan_heng_permansor_terrae,1,Shed Scales of Old,"When Dan Heng • Permansor Terrae uses Ultimate, recovers 1 Skill Point(s) and increases the ""Bondmate's"" All-Type RES PEN by 18%, lasting for 3 turn(s)."
dan_heng_permansor_terrae,2,Watch Trails to Blaze,"Additionally increases the number of actions for the enhanced Souldragon from Ultimate by 2. After Dan Heng • Permansor Terrae uses Ultimate, Souldragon advances action by 100%. When the enhanced ""Souldragon"" takes action, the Additional DMG dealt by the ""Bondmate"" becomes 200% of its original DMG, and the Shield Effect provided in this instance becomes 200% of its original Shield Effect."
dan_heng_permansor_terrae,3,Bear Weight of Worlds,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
dan_heng_permansor_terrae,4,"By Oath, This Vessel Is I","Reduces the DMG taken by the ""Bondmate"" by 20%."
dan_heng_permansor_terrae,5,The Path of Permanence Sweeps Far,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
dan_heng_permansor_terrae,6,One Dream to Enfold All Wilds,"When the ""Bondmate"" is on the field, increases the DMG taken by all enemies by 20%. When the ""Bondmate"" deals DMG, ignores 12% of the enemy targets' DEF. When Dan Heng • Permansor Terrae uses Ultimate, the ""Bondmate"" will deal Additional DMG of the Bondmate's Type to all enemies, equal to 330% of the Bondmate's ATK."
dr_ratio,1,Pride Comes Before a Fall,"The maximum stackable count for the Trace ""Summation"" increases by 4. When a battle begins, immediately obtains 4 stacks of Summation. Needs to unlock Summation first."
dr_ratio,2,The Divine Is in the Details,"When his Talent's Follow-Up ATK hits a target, for every debuff the target has, deals Imaginary Additional DMG equal to 20% of Dr. Ratio's ATK. This effect can be triggered for a maximum of 4 time(s) during each Follow-Up ATK."
dr_ratio,3,Know Thyself,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
dr_ratio,4,Ignorance Is Blight,"When triggering the Talent, additionally regenerates 15 Energy for Dr. Ratio."
dr_ratio,5,Sic Itur Ad Astra,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
dr_ratio,6,Vincit Omnia Veritas,"Additionally increases the trigger count for ""Wiseman's Folly"" by 1. The DMG dealt by the Talent's Follow-Up ATK increases by 50%."
evanescia,1,"Homeland, Dance in Prayer","Increases All-Type PEN by 20%. After ""Fox Teacher"" uses an attack, triggers 1 additional Elation Skill. Elation Skill grants this unit 10 additional ""Certified Banger"" point(s)."
evanescia,2,"Journey, Wish for Everbloom","Increases Elation by 25%. The Vulnerability effect of the Trace ""Fulfilled Adjudication"" can stack, up to 2 stacks."
evanescia,3,"Blade, Devour the Red Moon's Bane","Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10. Elation Skill Lv. +1, up to a maximum of Lv. 15."
evanescia,4,"Meadow, Despoiled by Evil",Evanescia's DMG dealt ignores 15% of the enemy target's DEF.
evanescia,5,"Arcadia, Witness Emotions Converge","Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15. Elation Skill Lv. +1, up to a maximum of Lv. 15."
evanescia,6,"Maiden, Dreaming in Vicissitude","Elation DMG dealt by Evanescia merrymakes by 25%. When teammates whose Participant ID is lower than Evanescia's gain ""Certified Banger"" or when ally teammates' ""Certified Banger"" expires, Evanescia additionally gains 50%/50% of it as her own ""Certified Banger."" After using her Ultimate for the first time upon entering combat, Evanescia regenerates 120 Energy. This effect can trigger 1 time for every 4 Ultimates used."
evernight,1,"Sleep Tight, the Night Dreams Long","When Evernight is on the field, if there are (4 or more)/3/2/1 enemy targets on the field, ally memosprites deal DMG equal to 120%/125%/130%/150% of their original DMG respectively."
evernight,2,"Listen Up, the Slumber Speaks Soft","Increases Evernight's and the memosprite Evey's CRIT DMG by 40%. Each time Evernight gains ""Memoria,"" increases the amount of ""Memoria"" gain by 2 point(s). When using Ultimate, additionally gains 2 Charge for ""Darkest Riddle."""
evernight,3,"Fear Not, the Nightmare Lies Past","Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10. Memosprite Talent Lv. +1, up to a maximum of Lv. 10."
evernight,4,"Wake Up, the Tomorrow is Yours","While Evernight is on the field, ally memosprites' Weakness Break Efficiency increases by 25%, and the memosprite Evey's Weakness Break Efficiency additionally increases by 25%."
evernight,5,"Let Go, the ""Me"" in Memories","Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15. Memosprite Skill Lv. +1, up to a maximum of Lv. 10."
evernight,6,"Like This, Always","While Evernight is on the field, all ally targets' All-Type RES PEN increases by 20%. After the memosprite Evey uses ""Dream, Dissolving, as Dew,"" Evernight gains 30% of the amount of ""Memoria"" consumed in this attack."
feixiao,1,Skyward I Quell,"After launching ""Boltsunder Blitz"" or ""Waraxe Skyward,"" additionally increases the Ultimate DMG dealt by Feixiao by an amount equal to 10% of the original DMG, stacking up to 5 time(s) and lasting until the end of the Ultimate action."
feixiao,2,Moonward I Wish,"In the Talent's effect, for every 1 instance of Follow-Up ATK launched by ally targets, Feixiao gains 1 point of ""Flying Aureus."" This effect can trigger up to 6 time(s) per turn."
feixiao,3,Starward I Bode,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
feixiao,4,Stormward I Hear,"The Toughness Reduction from the Talent's Follow-Up ATK increases by 100% and, when launched, increases this unit's SPD by 8%, lasting for 2 turn(s)."
feixiao,5,Heavenward I Leap,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
feixiao,6,Homeward I Near,"Increases the All-Type RES PEN of Ultimate DMG dealt by Feixiao by 20%. Talent's Follow-Up ATK DMG is considered as Ultimate DMG at the same time, and its DMG multiplier increases by 140%."
firefly,1,"In Reddened Chrysalis, I Once Rest","When using the Enhanced Skill, ignores 15% of the target's DEF. The Enhanced Skill does not consume Skill Points."
firefly,2,"From Shattered Sky, I Free Fall","While in Complete Combustion, using the Enhanced Basic ATK or the Enhanced Skill to defeat an enemy target or to Break their Weakness allows SAM to immediately gain 1 extra turn. This effect can trigger again after 1 turn(s)."
firefly,3,"Amidst Silenced Stars, I Deep Sleep","Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
firefly,4,"Upon Lighted Fyrefly, I Soon Gaze","While in Complete Combustion, increases SAM's Effect RES by 50%."
firefly,5,"From Undreamt Night, I Thence Shine","Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
firefly,6,"In Finalized Morrow, I Full Bloom","While in Complete Combustion, increases SAM's Fire RES PEN by 20%. When using the Enhanced Basic ATK or Enhanced Skill, increases Weakness Break Efficiency by 50%."
fu_xuan,1,Dominus Pacis,The Knowledge effect increases CRIT DMG by 30%.
